cmpdname,boiling_point_kelvin
1-Bromohexadecane,609.2
1-Chlorohexadecane,595.2
1-Chlorooctadecane,621.2
1-Iodooctadecane,656.2
1-Nitrobutane,426.2
1-Nitronaphthalene,577.2
1-Nitropentane,445.7
1-Nitropropane,404.53
2-Acetylthiophene,486.7
2-Aminobenzyl alcohol,548.2
2-Benzoylbenzoic acid,534.2
2-Benzoylthiophene,573.2
2-Hydroxyisobutyric acid,485.2
2-Methylresorcinol,537.2
2-Nitrobenzamide,590.2
2-Nitrobenzyl alcohol,543.2
2-Nitrobutane,412.8
2-Nitromesitylene,528.2
2-Nitrophenethyl alcohol,540.2
2-Nitrophenol,490.4
2-Nitropropane,393.5
2-Nitrothiophene,497.7
2-Nitrotoluene,495.45
2-Phenoxypropionic acid,538.2
2-Thiophenemethanol,480.2
3'-Aminoacetophenone,562.7
3'-Nitroacetophenone,475.2
3-Aminopropanol,461.0
3-Methylcatechol,514.2
3-Nitrobenzamide,585.7
3-Nitrothiophene,498.2
3-Nitrotoluene,504.0
3-Phenoxypropionic acid,513.2
4'-Nitroacetophenone,475.2
4-Acetylbutyric acid,547.7
4-Aminoacetophenone,567.2
4-Ethylnitrobenzene,518.7
4-Methoxybenzamide,568.2
4-Methylcatechol,524.2
4-Nitrophenol,552.2
4-Nitrotoluene,511.65
9-Heptadecanone,524.7
9-Tricosene,573.2
Acetamide,494.4
Acetovanillone,570.7
Acetoxyacetone,447.0
Azoxymethane,371.0
Butanediol,502.88
Butyramide,489.2
Catechol,518.8
Chlorohydroquinone,536.2
Chloronitromethane,395.65
Dehydroacetic acid,543.2
Diacetamide,496.7
Diacetoxydimethylsilane,437.0
Dicaprylyl Ether,559.7
Diethanolamine,544.2
Diethylene glycol,518.65
Dimethyl Sulfone,511.0
Dimethylnitramine,460.2
Dinitrochlorobenzene,588.2
Dipropionamide,488.2
Dipropyl sulfone,542.0
Erythritol,603.7
Ethohexadiol,517.2
Ethoxyacetic acid,479.7
Heptadecanal,591.15
Hexamethylenediamine,477.7
Hexylene Glycol,471.2
Hexylresorcinol,607.2
Hydroquinone,558.2
Isobutyramide,491.2
Levulinic Acid,518.7
Methoxyacetic Acid,476.7
Methylsuccinic acid,380.65
N-Ethyldiethanolamine,522.2
Nitrobenzene,483.9
Nitrocyclopentane,453.2
Nitroethane,387.65
Nitromethane,374.22
Orcinol,562.7
Ozone,161.3
Palmitic Acid,612.15
Pentafluoronitrobenzene,432.7
Pivalamide,485.2
Propionamide,495.3
Pyrogallol,582.2
Pyruvic Acid,438.2
Resorcinol,550.0
Stearic Acid,634.2
Sulfolane,561.2
Tecnazene,577.2
Tetracyanoethylene,496.2
Tetraethylene Glycol,601.2
Tetranitromethane,399.2
Thianthrene,639.2
Triacetylmethane,476.7
Trichloroacetamide,512.2
Triethylene Glycol,551.5
Trifluoroacetamide,435.7
Urethane,458.4
d-Alaninol,447.7
m-Phenylenediamine,556.2
o-PHENYLENEDIAMINE,530.15
p-Phenylenediamine,540.2
