cmpdname,label,category,evidence,exclude
(2R)-2-methylpentadecan-1-ol,657.42,Joback estimate,label equals the Joback group-contribution estimate (657.42 K),True
(2S)-2-butoxybutan-1-ol,496.8,Joback estimate,label equals the Joback group-contribution estimate (496.80 K),True
"(2Z,6E)-Farnesol",647.1,Joback estimate,label equals the Joback group-contribution estimate (647.10 K),True
(3R)-oct-1-en-3-ol,471.06,Joback estimate,label equals the Joback group-contribution estimate (471.06 K),True
"(E)-2,6,10-Trimethylundeca-5,9-dienol",619.74,Joback estimate,label equals the Joback group-contribution estimate (619.74 K),True
"(R)-butane-1,3-diol",475.04,Joback estimate,label equals the Joback group-contribution estimate (475.04 K),True
"(S)-butane-1,3-diol",475.04,Joback estimate,label equals the Joback group-contribution estimate (475.04 K),True
"(Z,E)-alpha-Farnesene",551.6,Joback estimate,label equals the Joback group-contribution estimate (551.60 K),True
"(r)-Butane-1,2,4-triol",567.22,Joback estimate,label equals the Joback group-contribution estimate (567.22 K),True
"1,1,2,2-Tetra-t-butylethane",597.64,Joback estimate,label equals the Joback group-contribution estimate (597.64 K),True
"1,10-Undecadiyne",431.52,Joback estimate,label equals the Joback group-contribution estimate (431.52 K),True
"1,12-Dodecanediol",658.52,Joback estimate,label equals the Joback group-contribution estimate (658.52 K),True
"1,12-Tridecadiene",490.4,Joback estimate,label equals the Joback group-contribution estimate (490.40 K),True
"1,14-Tetradecanediol",704.28,Joback estimate,label equals the Joback group-contribution estimate (704.28 K),True
"1,15-Hexadecadiene",559.04,Joback estimate,label equals the Joback group-contribution estimate (559.04 K),True
"1,16-Hexadecanediol",750.04,Joback estimate,label equals the Joback group-contribution estimate (750.04 K),True
"1,19-Eicosadiene",650.56,Joback estimate,label equals the Joback group-contribution estimate (650.56 K),True
"1,2,3-Butatriene",286.86,Joback estimate,label equals the Joback group-contribution estimate (286.86 K),True
"1,2,3-Pentatriene",317.22,Joback estimate,label equals the Joback group-contribution estimate (317.22 K),True
"1,2,4,5-Hexatetraene",336.78,Joback estimate,label equals the Joback group-contribution estimate (336.78 K),True
"1,2,4-Butanetriol",567.22,Joback estimate,label equals the Joback group-contribution estimate (567.22 K),True
"1,2,4-Pentatriene",310.63,Joback estimate,label equals the Joback group-contribution estimate (310.63 K),True
"1,2-Dodecanediol",658.08,Joback estimate,label equals the Joback group-contribution estimate (658.08 K),True
"1,2-Hexadecanediol",749.6,Joback estimate,label equals the Joback group-contribution estimate (749.60 K),True
"1,2-Nonadiene",405.47,Joback estimate,label equals the Joback group-contribution estimate (405.47 K),True
"1,2-Octanediol",566.56,Joback estimate,label equals the Joback group-contribution estimate (566.56 K),True
"1,2-Tetradecanediol",703.84,Joback estimate,label equals the Joback group-contribution estimate (703.84 K),True
"1,20-Eicosanediol",841.56,Joback estimate,label equals the Joback group-contribution estimate (841.56 K),True
"1,3-Hexanediol",520.8,Joback estimate,label equals the Joback group-contribution estimate (520.80 K),True
"1,3-Octanediol",566.56,Joback estimate,label equals the Joback group-contribution estimate (566.56 K),True
"1,3-Pentanediol",497.92,Joback estimate,label equals the Joback group-contribution estimate (497.92 K),True
"1,4,7-Heptanetriol",635.86,Joback estimate,label equals the Joback group-contribution estimate (635.86 K),True
"1,4,7-Trimethyldiethylenetriamine",472.54,Joback estimate,label equals the Joback group-contribution estimate (472.54 K),True
"1,9-Nonanediol",589.88,Joback estimate,label equals the Joback group-contribution estimate (589.88 K),True
1-(2-Butoxy-1-methylethoxy)propan-2-ol,564.54,Joback estimate,label equals the Joback group-contribution estimate (564.54 K),True
1-(2-Methoxypropoxy)-2-propanol,495.9,Joback estimate,label equals the Joback group-contribution estimate (495.90 K),True
1-Heneicosene,676.76,Joback estimate,label equals the Joback group-contribution estimate (676.76 K),True
1-Hexacosanol,886.66,Joback estimate,label equals the Joback group-contribution estimate (886.66 K),True
