row,cmpdname,label,mean_residual,nist_tb,nist_n,nist_status
17,Sorbitol,704.0,152,,0,no_boiling_point
50,Tridodecylamine,721.15,225,,0,no_boiling_point
96,Squalane,693.15,165,,0,no_boiling_point
143,Octamylamine,373.65,137,,0,no_boiling_point
269,Phytane,442.65,200,,0,no_boiling_point
368,Hexaethylene glycol,490.15,167,,0,no_boiling_point
376,Didodecylamine,453.15,268,,0,no_boiling_point
413,"1,2,3-Butanetriol",443.15,98,,0,no_boiling_point
602,1-Triacontanol,978.18,-126,,0,no_boiling_point
610,"1,8-Octanediol",418.15,129,,0,no_boiling_point
639,3-Decyne,320.33719,123,449.0,2,found
642,n-Methyloctan-1-amine,351.65,96,,0,not_found
651,"1,2-Heptanediol",363.15,156,,0,no_boiling_point
655,Tris(2-aminoethyl)amine,370.65,187,,0,no_boiling_point
659,N-Methyldioctylamine,410.15,156,,0,no_boiling_point
668,"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol",515.65,224,,0,no_boiling_point
675,Tris(2-methylallyl)amine,357.15,118,,0,no_boiling_point
688,3-Octyn-1-ol,370.15,93,,0,no_boiling_point
812,Non-3-yn-1-ol,376.4,105,,0,no_boiling_point
917,4-Nonyne,337.76475,80,425.0,3,found
939,9-Octadecyne,415.0,190,415.0,1,found
973,1-Nonacosene,859.8,-107,,0,no_boiling_point
988,"3,9-Diethyl-6-tridecanol",582.15,77,582.15,1,found
989,"(R,R)-2,3-butanediol",350.5,105,,0,no_boiling_point
998,2-Methyltricosane,480.9,228,,0,no_boiling_point
1007,"N,N-diethylhexadecylamine",472.65,145,628.15,1,found
1009,Lycopene,1167.92,-265,,0,no_boiling_point
1269,beta-Ocimene,346.15,83,,0,no_boiling_point
1271,Nerolidol,395.15,233,,0,not_found
1437,1-Tetratriacontene,974.2,-168,,0,no_boiling_point
