cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
Dinitrochlorobenzene,C97007,588.2,1,found
2-Hydroxyglutaric acid,,,0,not_found
Tartronic acid,C80693,,0,no_boiling_point
2-Oxoglutaric acid,C328507,,0,no_boiling_point
2-Oxobutanoic acid,C600180,,0,no_boiling_point
2-Phosphoglyceric acid,,,0,not_found
2-Oxoadipic acid,C3184358,,0,no_boiling_point
2-Isopropylmalic acid,,,0,not_found
3-Hydroxyanthranilic Acid,C548936,,0,no_boiling_point
3-Oxoadipic acid,,,0,not_found
Acetoacetic acid,C541504,,0,no_boiling_point
3-Mercaptopyruvic acid,,,0,not_found
3-Hydroxybenzyl alcohol,C620246,,0,no_boiling_point
3-Pyridineacetic acid,,,0,not_found
3-Sulfinylpyruvic acid,,,0,not_found
3-Ureidopropionic acid,,,0,not_found
3-Pyridinebutanoic acid,,,0,not_found
4-Aminobutanal,,,0,not_found
Gamma-Aminobutyric Acid,,,0,not_found
4-Hydroxybenzyl alcohol,C623052,,0,no_boiling_point
4-Hydroxybenzoic acid,C99967,,0,no_boiling_point
Aminolevulinic Acid,,,0,not_found
5-Aminovaleric acid,C660888,,0,no_boiling_point
Acetamide,C60355,494.4,6,found
Adipic Acid,C124049,,0,no_boiling_point
Allantoic acid,,,0,not_found
Aminoacetone,,,0,not_found
Anthranilic acid,C118923,,0,no_boiling_point
Arsenic Acid,,,0,not_found
Carbamic Acid,,,0,not_found
Aminooxyacetic Acid,,,0,not_found
Catechol,C120809,518.8,4,found
Chlorohydroquinone,C615678,536.2,1,found
Aconitic acid,,,0,not_found
Citric Acid,,,0,not_found
Salicylic Acid,C69727,,0,no_boiling_point
3-Methylcatechol,C488175,514.2,1,found
Digallic Acid,,,0,not_found
Phloroglucinol,C108736,,0,no_boiling_point
Gallic Acid,C149917,,0,no_boiling_point
Pimelic acid,C111160,,0,no_boiling_point
2-Nitropropane,C79469,393.5,3,found
p-Aminophenol,C123308,,0,no_boiling_point
Phosphorous acid,C10294561,,0,no_boiling_point
DL-Aspartic acid,C617458,,0,no_boiling_point
Oxoamide,,,0,not_found
3-Hydroxybutyric acid,C300856,,0,no_boiling_point
m-Chlorohippuric acid,,,0,not_found
1-Methylnicotinamide,,,0,not_found
Hippuric Acid,C495692,,0,no_boiling_point
2-Aminohexanedioic acid,,,0,not_found
Methylmalonic acid,C516052,,0,no_boiling_point
4-Guanidinobutyric acid,,,0,not_found
4-Imidazolone,,,0,not_found
2-Methylcitric acid,,,0,not_found
Malic Acid,C6915157,,0,no_boiling_point
2-Phosphoglycolic Acid,,,0,not_found
Cyanic acid,C420053,,0,no_boiling_point
Arsenous acid,,,0,not_found
Phosphonoacetic acid,C4408780,,0,no_boiling_point
Aminocaproic acid,C60322,,0,no_boiling_point
Tetrahydroxyadipic acid,C526998,,0,no_boiling_point
Hexuronic Acid,,,0,not_found
DL-Glutamic acid,C617652,,0,no_boiling_point
Lactic Acid,,,0,not_found
Dihydroorotic acid,,,0,not_found
Dihydrolipoamide,,,0,not_found
Dihydroxyacetone,C96264,,0,no_boiling_point
Dopamine,C51616,,0,no_boiling_point
Monoethanolamine,,,0,not_found
Formamide,C75127,,0,no_boiling_point
2-Butenedioic acid,,,0,not_found
Glutaric acid,C110941,,0,no_boiling_point
Glyceric acid,,,0,not_found
Glycerophosphoric acid,,,0,not_found
Glycolic Acid,C79141,,0,no_boiling_point
Glyoxylic acid,C298124,,0,no_boiling_point
Glycocyamine,,,0,not_found
Carbonic Acid,,,0,not_found
Histamine,C51456,,0,no_boiling_point
Histidinol,,,0,not_found
Homogentisic acid,,,0,not_found
Hydroquinone,C123319,558.2,2,found
Hydroxylamine,C7803498,,0,no_boiling_point
Hydroxymethylbilane,,,0,not_found
Iminoaspartic acid,,,0,not_found
Itaconic acid,C97654,,0,no_boiling_point
Pipecolic acid,C4043872,,0,no_boiling_point
Lipoamide,C3206733,,0,no_boiling_point
Thioctic acid,,,0,not_found
Malonic acid,C141822,,0,no_boiling_point
DL-Tartaric acid,C133379,,0,no_boiling_point
Phytic acid,,,0,not_found
