cmpdname,nist_id,boiling_point_kelvin,n_measurements,status,round,rank_in_round,source
Linusic acid,,,0,not_found,0,0,cache
Egtazic Acid,,,0,not_found,0,1,cache
Aminopentol,,,0,not_found,0,2,cache
Limocitrol,,,0,not_found,0,3,cache
Odobromoamide,,,0,not_found,0,4,cache
Rescinnamine,C24815245,,0,no_boiling_point,0,5,cache
Nostovalerolactone,,,0,not_found,0,6,cache
Loganic Acid,,,0,not_found,0,7,cache
Canditral,,,0,not_found,0,8,cache
Orungal,,,0,not_found,0,9,cache
Piscerythrone,,,0,not_found,0,10,cache
Piscidone,,,0,not_found,0,11,cache
Ketorolac Tromethamine,,,0,not_found,0,12,cache
Circinamide,,,0,not_found,0,13,cache
Uralene,,,0,not_found,0,14,cache
Cortolonic acid,,,0,not_found,0,15,cache
beta-Cortolonic acid,,,0,not_found,0,16,cache
Perfluorotripentylamine,C338841,,0,no_boiling_point,0,17,scraped
Perfluorotrihexylamine,C432086,,0,no_boiling_point,0,18,cache
Geniposidic Acid,,,0,not_found,0,19,cache
Arteanoflavone,,,0,not_found,0,20,cache
8-Methoxycirsilineol,,,0,not_found,0,21,cache
Araneosol,,,0,not_found,0,22,cache
s-Hexylglutathione,,,0,not_found,0,23,cache
Stenosporic acid,,,0,not_found,0,24,cache
6beta-Hydroxycortisol,,,0,not_found,0,25,cache
Mantillamide,,,0,not_found,0,26,cache
Clethodim Sulfone,,,0,not_found,0,27,cache
Clethodim-sulfone,,,0,not_found,0,28,cache
Diaziquone,,,0,not_found,0,29,cache
Celiprolol,,,0,not_found,0,30,cache
Cryptomaldamide,,,0,not_found,0,31,cache
Mutanamide,,,0,not_found,0,32,cache
Perfluorotributylamine,C311897,451.95,3,found,0,33,scraped
7-Diacetyllycopsamine,R227895,,0,no_boiling_point,0,34,cache
Perfluidone,C37924133,,0,no_boiling_point,0,35,cache
Piscidanone,,,0,not_found,0,36,cache
Co-Artemether,,,0,not_found,0,37,cache
Brisoral,,,0,not_found,0,38,cache
Bicalutamide,C90357065,,0,no_boiling_point,0,39,cache
Dronedarone,,,0,not_found,0,40,cache
Flubendiamide,,,0,not_found,0,41,cache
Tembotrione,,,0,not_found,0,42,cache
Melafolone,,,0,not_found,0,43,cache
Valafolone,,,0,not_found,0,44,cache
Pamoic acid,,,0,not_found,0,45,cache
Arotinolol,,,0,not_found,0,46,cache
Cyprosulfamide,,,0,not_found,0,47,cache
Buckminsterfullerene,C99685968,,0,no_boiling_point,0,48,scraped
Finerenone,Finerenone,,0,no_boiling_point,0,49,cache
Reproterol,,,0,not_found,0,50,cache
Enzalutamide,,,0,not_found,0,51,cache
Acotiamide,,,0,not_found,0,52,cache
Oxycodegol,,,0,not_found,0,53,cache
Morusinol,,,0,not_found,0,54,cache
Pitiprolamide,,,0,not_found,0,55,cache
Triproamide,,,0,not_found,0,56,cache
N-Desmethylzopiclone,R178491,,0,no_boiling_point,0,57,cache
Cortolic acid,,,0,not_found,0,58,cache
Odoamide,,,0,not_found,0,59,cache
Petalopurpurenol,,,0,not_found,0,60,cache
Sideritoflavone,,,0,not_found,0,61,cache
Tamadone,,,0,not_found,0,62,cache
Evernic Acid,,,0,not_found,0,63,cache
Visudyne,,,0,not_found,0,64,cache
Sophoronol,,,0,not_found,0,65,cache
Quinosol,,,0,not_found,0,66,cache
Gadodiamide,,,0,not_found,0,67,cache
Trichamide,,,0,not_found,0,68,cache
Molassamide,,,0,not_found,0,69,cache
3'-Hydroxyrocaglamide,,,0,not_found,0,70,cache
Sarothranol,,,0,not_found,0,71,cache
Medroxalol,,,0,not_found,0,72,cache
Perfluorotriheptyl amine,,,0,not_found,0,73,cache
Microseiramide,,,0,not_found,0,74,cache
7-Tigloyllacopsamine,R516531,,0,no_boiling_point,0,75,cache
S-Lactoylglutathione,,,0,not_found,0,76,cache
Croissamide,,,0,not_found,0,77,cache
8-Hydroxypinoresinol,,,0,not_found,0,78,cache
Drixoral,,,0,not_found,0,79,cache
Sphaerocyclamide,,,0,not_found,0,80,cache
Motobamide,,,0,not_found,0,81,cache
Grahamine,R590297,,0,no_boiling_point,0,82,cache
Solaniol,C36519252,,0,no_boiling_point,0,83,cache
Neosolaniol,C36519252,,0,no_boiling_point,0,84,cache
Bemotrizinol,,,0,not_found,0,85,cache
Lobaric Acid,,,0,not_found,0,86,cache
Nostopyrrolidonamide,,,0,not_found,0,87,cache
Flubenzimine,C37893020,,0,no_boiling_point,0,88,cache
SZX 0722-carboxylic acid,,,0,not_found,0,89,cache
Dicresulene,,,0,not_found,0,90,cache
Cirsiliol,,,0,not_found,0,91,cache
Betuletol,,,0,not_found,0,92,cache
Tamaridone,,,0,not_found,0,93,cache
Laurentinol,,,0,not_found,0,94,cache
Fipronil sulfone,,,0,not_found,0,95,cache
Perfluorododecanal,,,0,not_found,0,96,scraped
Lingaoamide,,,0,not_found,0,97,cache
Aliarin 4'-methyl ether,,,0,not_found,0,98,cache
Atrovirinone,,,0,not_found,0,99,cache
Pentetic Acid,C67436,,0,no_boiling_point,1,0,cache
Sulfoxone,,,0,not_found,1,1,cache
Metrizamide,,,0,not_found,1,2,cache
Diquafosol,,,0,not_found,1,3,cache
Mefluidide-diolamine,,,0,not_found,1,4,cache
Iomeprol,,,0,not_found,1,5,cache
Iopamidol,,,0,not_found,1,6,cache
Ioversol,,,0,not_found,1,7,cache
Perfluorotetradecane,C307620,,0,no_boiling_point,1,8,scraped
Perfluorodecyl ethylene,,,0,not_found,1,9,scraped
Propoxycarbazone,,,0,not_found,1,10,cache
Iohexol,,,0,not_found,1,11,cache
Gadopentetic acid,,,0,not_found,1,12,cache
Perfluorododecane,C307595,,0,no_boiling_point,1,13,scraped
Perfluoropentadecane,,,0,not_found,1,14,scraped
Ioxaglic acid,,,0,not_found,1,15,cache
Perfluoroundecane,,,0,not_found,1,16,scraped
Dihydrofolic acid,,,0,not_found,1,17,cache
Folic Acid,C59303,,0,no_boiling_point,1,18,cache
Tetrahydrofolic acid,,,0,not_found,1,19,cache
Colazal,,,0,not_found,1,20,cache
Syringin methyl ether,,,0,not_found,1,21,cache
Hydroxystilbamide,,,0,not_found,1,22,cache
Perfluorohexadecane,C355497,,0,no_boiling_point,1,23,scraped
Levomefolic acid,,,0,not_found,1,24,cache
Adenylsuccinic acid,,,0,not_found,1,25,cache
Adenylosuccinic acid,,,0,not_found,1,26,cache
3'-Sialyllactosamine,,,0,not_found,1,27,cache
Ceftriaxone,,,0,not_found,1,28,cache
Gadobutrol,,,0,not_found,1,29,cache
Brinzolamide,,,0,not_found,1,30,cache
Gadoteridol,,,0,not_found,1,31,cache
Piroxantrone,,,0,not_found,1,32,cache
Gadoteric acid,,,0,not_found,1,33,cache
Perfluorotridecane,,,0,not_found,1,34,scraped
1-Bromoperfluorononane,,,0,not_found,1,35,scraped
Rurioctocog alfa pegol,,,0,not_found,1,36,cache
Perfluoroundecanoic acid,C2058948,,0,no_boiling_point,1,37,scraped
Fursultiamine,,,0,not_found,1,38,cache
Dinoprost Tromethamine,,,0,not_found,1,39,cache
Perfluorodecane,C307459,,0,no_boiling_point,1,40,scraped
Tartrazine acid,,,0,not_found,1,41,cache
Sulfisoxazole Diolamine,,,0,not_found,1,42,cache
Disodium ceftriaxone,,,0,not_found,1,43,cache
Iodipamide,,,0,not_found,1,44,cache
Alizarin complexone,,,0,not_found,1,45,cache
Hfpo pentamer acid,,,0,not_found,1,46,cache
CDP-Ethanolamine,,,0,not_found,1,47,cache
Ceftolozane,,,0,not_found,1,48,cache
Perfluorotridecanoic acid,,,0,not_found,1,49,scraped
Cefoperazone,,,0,not_found,1,50,cache
Pyritinol,,,0,not_found,1,51,cache
Fefol,,,0,not_found,1,52,cache
Opicapone,,,0,not_found,1,53,cache
Deferoxamine,C70519,,0,no_boiling_point,1,54,cache
CDP-glycerol,,,0,not_found,1,55,cache
Heptabromodiphenyl ether,,,0,not_found,1,56,scraped
Octabromodiphenyl ether,,,0,not_found,1,57,scraped
Perfluoroperhydrofluorene,,,0,not_found,1,58,scraped
Thiencarbazone,,,0,not_found,1,59,cache
Gadopentetic-acid,,,0,not_found,1,60,cache
Cefpiramide,,,0,not_found,1,61,cache
Lodoxamide Tromethamine,,,0,not_found,1,62,cache
Perfluorododecanoic acid,C307551,,0,no_boiling_point,1,63,scraped
Oxiglutatione,,,0,not_found,1,64,cache
Nonabromodiphenyl ether,,,0,not_found,1,65,scraped
Trigallic Acid,,,0,not_found,1,66,cache
Gadoversetamide,,,0,not_found,1,67,cache
Anziaic acid,,,0,not_found,1,68,cache
Octonal,,,0,not_found,1,69,cache
Gyrophoric acid,,,0,not_found,1,70,cache
Deoxyribonucleic acid,,,0,not_found,1,71,cache
Amsonic acid,,,0,not_found,1,72,cache
6-Sialyllactosamine,,,0,not_found,1,73,cache
Topilutamide,,,0,not_found,1,74,cache
Agaricic Acid,,,0,not_found,1,75,cache
Fumarprotocetraric Acid,,,0,not_found,1,76,cache
Gentacycol,,,0,not_found,1,77,cache
Fipronil amide,,,0,not_found,1,78,cache
Carboprost Tromethamine,,,0,not_found,1,79,cache
Perfluoroeicosane,C37589574,,0,no_boiling_point,1,80,cache
Repenol,,,0,not_found,1,81,cache
Phloraspidinol,,,0,not_found,1,82,cache
Chicoric acid,,,0,not_found,1,83,cache
D-Chicoric acid,,,0,not_found,1,84,cache
Nostocyclamide,,,0,not_found,1,85,cache
Vocol,,,0,not_found,1,86,cache
Acetylgynuramine,R178095,,0,no_boiling_point,1,87,cache
Gadobenic Acid,,,0,not_found,1,88,cache
Azoxystrobin acid,,,0,not_found,1,89,cache
Fertaric acid,Fertaric acid,,0,no_boiling_point,1,90,cache
Dithane,,,0,not_found,1,91,cache
Wainunuamide,,,0,not_found,1,92,cache
Deganol,,,0,not_found,1,93,cache
Tenofovir Alafenamide,,,0,not_found,1,94,cache
Kappadione,,,0,not_found,1,95,cache
Silicomolybdic acid,,,0,not_found,1,96,cache
Hapalocyclamide,,,0,not_found,1,97,cache
Suxibuzone,C27470515,,0,no_boiling_point,1,98,cache
Tyrosylglutamic acid,,,0,not_found,1,99,cache
Desferal,,,0,not_found,2,0,cache
Phytic acid,,,0,not_found,2,1,cache
Phosphomolybdic acid,,,0,not_found,2,2,cache
Silicotungstic acid,,,0,not_found,2,3,cache
Tauroselcholic Acid,,,0,not_found,2,4,cache
Mirificoumestan glycol,,,0,not_found,2,5,cache
Naringin Dihydrochalcone,,,0,not_found,2,6,cache
Dapagliflozin Propanediol,,,0,not_found,2,7,cache
Ferrioxamine,,,0,not_found,2,8,cache
Perfluamine,C338830,,0,no_boiling_point,2,9,scraped
7-Sulfocholic acid,,,0,not_found,2,10,cache
Guamamide,,,0,not_found,2,11,cache
