cmpdname,nist_id,boiling_point_kelvin,n_measurements,status,round,rank_in_round,source
1-Bromoperfluoropentane,,,0,not_found,0,0,scraped
2-Chloroperfluorohexane,,,0,not_found,0,1,scraped
Perfluorocyclohexane,C355680,,0,no_boiling_point,0,2,scraped
Perfluorotriethylamine,C359706,343.5,1,found,0,3,scraped
2-Iodononafluorobutane,,,0,not_found,0,4,scraped
Perfluoroisohexane,,,0,not_found,0,5,scraped
Perflexane,C355420,332.2,2,found,0,6,scraped
1H-Perfluorohexane,C355373,,0,no_boiling_point,0,7,scraped
Dodecafluoropentane,C678262,303.2,2,found,0,8,scraped
2-Chloroperfluoropentane,,,0,not_found,0,9,scraped
1-Chloroperfluoropentane,,,0,not_found,0,10,scraped
Decafluorocyclopentane,C376772,293.7,1,found,0,11,scraped
Decafluorocyclohexene,C355759,,0,no_boiling_point,0,12,scraped
Undecafluorocyclohexane,C308247,,0,no_boiling_point,0,13,scraped
1-Bromononafluorobutane,,,0,not_found,0,14,scraped
Duroquinone,C527173,,0,no_boiling_point,0,15,scraped
Pentafluoronitroso-ethane,C354723,,0,no_boiling_point,0,16,scraped
Hexafluoroacetone,C684162,245.7,3,found,0,17,scraped
Acetylene,C74862,189.6,2,found,0,18,scraped
o-Carborane,C16872096,,0,no_boiling_point,0,19,scraped
Hexafluoroazomethane,,,0,not_found,0,20,scraped
Dodecafluorooxepane,,,0,not_found,0,21,scraped
1H-Perfluoropentane,C375611,318.0,1,found,0,22,scraped
7H-Dodecafluoroheptanal,,,0,not_found,0,23,scraped
Octafluorotoluene,C434640,377.2,1,found,0,24,scraped
Nonafluorocyclopentane,C376658,,0,no_boiling_point,0,25,scraped
Perfluorocyclopentene,C559400,300.0,4,found,0,26,scraped
Perflubutane,,,0,not_found,0,27,scraped
Perflisobutane,,,0,not_found,0,28,scraped
Perfluoroisobutylene,C382218,,0,no_boiling_point,0,29,scraped
N-Methyldiacetamide,C1113684,,0,no_boiling_point,0,30,scraped
Quinone,C106514,,0,no_boiling_point,0,31,scraped
Perfluorobutylamine,,,0,not_found,0,32,scraped
Octafluorocyclobutane,C115253,266.88,3,found,0,33,scraped
1-Chlorononafluorobutane,,,0,not_found,0,34,scraped
Tropolone,C533755,,0,no_boiling_point,0,35,scraped
2-Benzoxazolinone,C59494,,0,no_boiling_point,0,36,scraped
Perfluorodiethoxymethane,,,0,not_found,0,37,scraped
Octachlorotrisiloxane,,,0,not_found,0,38,scraped
Cyclopentenedione,,,0,not_found,0,39,scraped
Dichlone,C117806,,0,no_boiling_point,0,40,scraped
Desflurane,C57041675,296.5,1,found,0,41,scraped
1-Iodopentadecane,C35599781,,0,no_boiling_point,0,42,scraped
Octachlorotrisilane,C13596231,,0,no_boiling_point,0,43,scraped
Chloropentafluorobenzene,C344070,391.2,2,found,0,44,scraped
Octachlorocyclopentene,C706785,556.2,1,found,0,45,scraped
Borane,C13283313,,0,no_boiling_point,0,46,scraped
p-Toluquinone,C553979,,0,no_boiling_point,0,47,scraped
Decafluorooxane,,,0,not_found,0,48,scraped
Heptachloronorbornene,,,0,not_found,0,49,scraped
Azomethane,C503286,275.0,2,found,0,50,scraped
Zerumbodienone,R121876,,0,no_boiling_point,0,51,scraped
Sevoflurane,C28523866,,0,no_boiling_point,0,52,scraped
beta-Vetivone,,,0,not_found,0,53,scraped
Vetiverone,C15764042,,0,no_boiling_point,0,54,scraped
Zierone,R576588,,0,no_boiling_point,0,55,scraped
Dioxene,,,0,not_found,0,56,scraped
Germacrone,C6902916,,0,no_boiling_point,0,57,scraped
Pentafluoroiodobenzene,C827156,439.0,2,found,0,58,scraped
1-Iodododecane,C4292197,571.4,1,found,0,59,scraped
Fluoroethyne,C2713099,,0,no_boiling_point,0,60,scraped
Nitrosobenzene,C586969,,0,no_boiling_point,0,61,scraped
Hexamethylbenzene,C87854,538.2,2,found,0,62,scraped
1-Iodotridecane,C35599770,,0,no_boiling_point,0,63,scraped
1-Iodotetradecane,C19218941,,0,no_boiling_point,0,64,scraped
n-Chloromethanimine,,,0,not_found,0,65,scraped
Octachloropropane,C594901,,0,no_boiling_point,0,66,scraped
Chlordene,C3734483,,0,no_boiling_point,0,67,scraped
beta-Chlordene,,,0,not_found,0,68,scraped
Tridecyltrichlorosilane,,,0,not_found,0,69,scraped
Allyltributylstannane,C24850337,,0,no_boiling_point,0,70,scraped
Fluorotripentylstannane,,,0,not_found,0,71,scraped
Tetrafluoroethylene,C116143,196.8,3,found,0,72,scraped
Fukinone,,,0,not_found,0,73,scraped
1-Fluoropropane,C460139,269.95,1,found,0,74,scraped
Hexachlorobenzene,C118741,597.7,1,found,0,75,scraped
Hexachlorofulvene,,,0,not_found,0,76,scraped
Ethyl methyl ether,C540670,283.2,3,found,0,77,scraped
Methylchromone,,,0,not_found,0,78,scraped
N-Methyl methanimine,C1761677,,0,no_boiling_point,0,79,scraped
4-Chlorodibenzothiophene,R197056,,0,no_boiling_point,0,80,scraped
Dimethylfluoroamine,C14722431,,0,no_boiling_point,0,81,scraped
Perfluoroethylamine,C354803,235.0,1,found,0,82,scraped
Dipropoxymethane,C505840,,0,no_boiling_point,0,83,scraped
beta-Pyronene,,,0,not_found,0,84,scraped
Fluorene,C86737,569.55,3,found,0,85,scraped
Phenalene,C203805,,0,no_boiling_point,0,86,scraped
1-Methylacenaphthylene,R15379,,0,no_boiling_point,0,87,scraped
Tetramethoxymethane,C1850142,387.2,1,found,0,88,scraped
2-Coumaranone,C553866,522.2,1,found,0,89,scraped
3-Octadecyne,C61886644,,0,no_boiling_point,0,90,scraped
Benzocyclobutadiene,,,0,not_found,0,91,scraped
Pentalene,C250259,,0,no_boiling_point,0,92,scraped
Oxidohimachalene,,,0,not_found,0,93,scraped
Heptalene,C257249,,0,no_boiling_point,0,94,scraped
Dimethylsilane,C1111746,,0,no_boiling_point,0,95,scraped
2-Fluorophenol,C367124,,0,no_boiling_point,0,96,scraped
3-Fluorophenol,C372203,451.2,1,found,0,97,scraped
Biphenylene,C259790,,0,no_boiling_point,0,98,scraped
Chloropentamethylbenzene,C5153399,,0,no_boiling_point,0,99,scraped
Pentafluorobenzene,C363724,358.89,6,found,1,0,scraped
Pentafluoroethane,C354336,225.0,11,found,1,1,scraped
Bromopentafluorobenzene,C344047,410.0,4,found,1,2,scraped
Chlorotrifluoromethane,C75729,191.8,4,found,1,3,scraped
Dimethyldifluorosilane,C353662,,0,no_boiling_point,1,4,scraped
Tetrafluorooxirane,C694177,,0,no_boiling_point,1,5,scraped
Hexafluorobenzene,C392563,353.4,10,found,1,6,scraped
Hexafluoroethane,C76164,195.0,12,found,1,7,scraped
Tetrafluorothiirane,,,0,not_found,1,8,scraped
Pentachlorofluorobenzene,C319879,,0,no_boiling_point,1,9,scraped
Trifluoroethylene,C359115,222.0,1,found,1,10,scraped
Methyl-chlorofluorosilane,,,0,not_found,1,11,scraped
Octamethyltrisilane,C3704447,,0,no_boiling_point,1,12,scraped
Titanocene,,,0,not_found,1,13,scraped
alpha-Ionene,,,0,not_found,1,14,scraped
Chlorodifluoromethane,C75456,313.3,1,found,1,15,scraped
Bromotetrachlorobenzene,,,0,not_found,1,16,scraped
Octamethyltrisiloxane,C107517,,0,no_boiling_point,1,17,scraped
Dichlorofluoromethane,C75434,282.0,1,found,1,18,scraped
Pentafluoroiodoethane,C354643,285.7,1,found,1,19,scraped
Methyl pulegone,R440112,,0,no_boiling_point,1,20,scraped
Hexachlorocyclohexane,,,0,not_found,1,21,scraped
Fluorotrimethylsilane,C420564,,0,no_boiling_point,1,22,scraped
Pentachlorobenzene,C608935,550.2,1,found,1,23,scraped
Bromopentafluoroethane,C354552,252.0,1,found,1,24,scraped
Trimethylchlorosilane,C75774,330.85,4,found,1,25,scraped
Ethyltrifluorosilane,,,0,not_found,1,26,scraped
Methoxyflurane,C76380,,0,no_boiling_point,1,27,scraped
Dichlorosilylene,C13569329,,0,no_boiling_point,1,28,scraped
Pentafluoro acetamide,C32822494,,0,no_boiling_point,1,29,scraped
Hexafluorocyclobutene,C697110,278.0,1,found,1,30,scraped
Pinacolone,C75978,378.95,38,found,1,31,scraped
Bromoethane,C74964,311.55,15,found,1,32,scraped
Diethoxymethane,C462953,361.1,7,found,1,33,scraped
1-Iodoadamantane,C768934,,0,no_boiling_point,1,34,scraped
Phosgene,C75445,,0,no_boiling_point,1,35,scraped
Ethoxypropoxymethane,R143603,,0,no_boiling_point,1,36,scraped
Dichlorosilane,C4109960,,0,no_boiling_point,1,37,scraped
Tetraisopropylsilane,,,0,not_found,1,38,scraped
Hexachlorocyclobutene,,,0,not_found,1,39,scraped
Bromopentachloroethane,C79504022,,0,no_boiling_point,1,40,scraped
Chlorotrifluoroethylene,C79389,246.0,2,found,1,41,scraped
Hexachloroethane,C67721,458.0,2,found,1,42,scraped
Ethyl citral,,,0,not_found,1,43,scraped
Dichlorodifluorosilane,C18356713,,0,no_boiling_point,1,44,scraped
p-Tolyltrichlorosilane,C701359,,0,no_boiling_point,1,45,scraped
Dichlorodifluoromethane,C75718,243.3,5,found,1,46,scraped
Diethoxydimethylsilane,C78626,387.0,1,found,1,47,scraped
Dimethoxydiethylsilane,R160579,,0,no_boiling_point,1,48,scraped
Diisopropoxy-silane,,,0,not_found,1,49,scraped
Oxirene,C157186,,0,no_boiling_point,1,50,scraped
Phenyltrichlorosilane,C98135,474.0,1,found,1,51,scraped
Hexafluoropropene,C116154,244.0,3,found,1,52,scraped
