strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
random,0,1,1056,616.26,False,0,(Z)-9-Tetradecen-1-ol
random,0,2,1017,387.13,False,0,(E)-2-Methylhept-3-ene
random,0,3,791,449.15,False,0,"2,2,4,4,5-Pentamethylhexane"
random,0,4,635,459.15,True,1,5-Methyldecane
random,0,5,335,379.65,False,1,3-Butyn-2-ol
random,0,6,51,459.35,True,2,2-Ethylhexan-1-ol
random,0,7,20,169.35,False,2,Ethylene
random,0,8,383,360.15,False,2,4-Methyl-1-hexene
random,0,9,219,420.15,False,2,5-Methyl-3-hexanol
random,0,10,93,506.15,False,2,"1,1'-Oxydi-2-propanol"
random,0,11,796,479.94,False,2,6-Methyl-6-hepten-4-yn-3-ol
random,0,12,640,393.65,False,2,2-Methyl-3-buten-1-ol
random,0,13,339,405.15,False,2,"2,4-Dimethylheptane"
random,0,14,388,357.15,False,2,3-Ethyl-1-pentene
random,0,15,1062,547.62,False,2,trans-2-Undecen-1-ol
random,0,16,1013,370.15,False,2,(Z)-3-Methyl-2-hexene
random,0,17,629,413.35,False,2,"2,2,3,3-Tetramethylpentane"
random,0,18,812,357.15,False,2,Propargylamine
random,0,19,1141,458.15,True,3,4-Tert-butyl-2-methylheptane
random,0,20,759,479.15,False,3,"2,4-Hexanediol"
random,0,21,840,471.15,True,4,"2,5-Dimethyldecane"
random,0,22,1020,378.55,False,4,"cis-2,2-Dimethyl-3-hexene"
random,0,23,346,426.15,False,4,3-Methyl-2-hexanol
random,0,24,1168,473.15,False,4,"3-Ethyl-3,4-dimethyloctane"
random,0,25,698,400.64,False,4,"2,6-Octadiyne"
random,0,26,911,389.7,False,4,"2,5-Dimethyl-1,4-hexadiene"
random,0,27,953,694.45,False,4,Squalene
random,0,28,218,407.0,False,4,3-Hexanol
random,0,29,1059,411.15,False,4,cis-2-Penten-1-ol
random,0,30,42,438.2,False,4,"N,N,N',N'-Tetramethyl-1,3-butanediamine"
