feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated,ensemble,0,0,32.879455567888314,16.538444130470356,0.939120705590807,318.0,71.66096106069304
curated,ensemble,0,1,31.41744184480478,15.922301411864204,0.9368060201721071,317.0,53.52493940564067
curated,ensemble,0,2,36.925750330190915,17.121362527575364,0.9007595753091766,317.0,72.32609429036985
curated,ensemble,0,3,23.98406819927093,14.76523694713076,0.9504399154070305,317.0,49.798337394945534
curated,ensemble,0,4,38.45798071814835,18.587788821203787,0.9282398471282631,317.0,78.37365154993495
curated,ensemble,1,0,31.386483585818972,15.71392685327844,0.946931415497499,318.0,65.0735792831987
curated,ensemble,1,1,35.59004386348937,17.786289851761346,0.9128734858014294,317.0,66.41756478985039
curated,ensemble,1,2,34.95260169209481,17.253682625263675,0.9180990254550245,317.0,68.51125479515645
curated,ensemble,1,3,34.73817604736771,16.865512496838203,0.9346919161810872,317.0,77.5325521372792
curated,ensemble,1,4,31.419880333558122,15.603314241345203,0.9241292551992767,317.0,68.49477398548667
curated,ensemble,2,0,36.418771278155056,17.8328981331989,0.9161267809247065,318.0,75.64581833810855
curated,ensemble,2,1,33.50174157687975,17.043427596195915,0.9193015998878495,317.0,69.68366585697936
curated,ensemble,2,2,37.39095563640172,17.546687538888495,0.918191307234563,317.0,82.11789913251198
curated,ensemble,2,3,28.461160098066962,14.889229253062265,0.9533932815162341,317.0,58.754991396943396
curated,ensemble,2,4,33.11971553554651,16.310767774799462,0.9283385865062922,317.0,61.395144273902396
curated,mlp,0,0,31.98114209439307,17.64939967869489,0.9424018793878862,318.0,66.56927400915819
curated,mlp,0,1,30.682422165625074,15.720718946582807,0.9397283126726146,317.0,49.60847044393347
curated,mlp,0,2,41.88271957993275,18.81081739451775,0.8723268115437934,317.0,81.75692664721895
curated,mlp,0,3,26.846124916013263,16.189044788715602,0.9379060122837091,317.0,49.13686166018246
curated,mlp,0,4,37.489458478928206,18.06474515115065,0.931808736885373,317.0,76.13954194719645
curated,mlp,1,0,31.11222077715734,15.295987806806052,0.9478548160150518,318.0,62.218986050699776
curated,mlp,1,1,37.44330174034787,16.945011553343228,0.9035634716124092,317.0,68.23526482866872
curated,mlp,1,2,36.592173876557105,16.087195192326025,0.9102351156968553,317.0,71.7856972154574
curated,mlp,1,3,35.03170319906881,16.509925174391547,0.9335835859748265,317.0,75.34455112204743
curated,mlp,1,4,34.113191745754754,16.69568441661379,0.9105644864965996,317.0,66.53109501893287
curated,mlp,2,0,39.59160114947722,18.74227897575962,0.9008759895752101,318.0,81.42647278459037
curated,mlp,2,1,30.663085981776142,17.080662783475034,0.9323976368382122,317.0,60.124918532313096
curated,mlp,2,2,40.0063491624374,17.10439146337346,0.9063464670608415,317.0,89.90949733628547
curated,mlp,2,3,26.516407714365332,14.718148622154736,0.9595449534230088,317.0,50.194003331439774
