model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,0,38.6927253423005,39.20192240749545
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,0,0,19.451135658583784,41.528678461798016
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,0,24.289871612462512,29.684138491000436
ensemble,,,old 12,0,0,24.752131770487786,32.8924240065303
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,0,0,36.18714126525369,36.671556722597195
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,0,7.87610321346362,42.43431397645778
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,0,0,24.890643771739168,34.76634375495562
ensemble,,,curated,0,0,19.905868576142968,33.20933266751902
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,0,36.086557324206915,38.3218748660418
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,0,7.87610321346362,42.43431397645778
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,0,27.592015784743325,36.51147150348049
ensemble,,,curated (log),0,0,21.566192456406153,34.67903272130895
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,0,13.635324860448506,47.41642703238014
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,0,35.48561830812574,37.476731199342915
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,0,8.003550817253775,43.12229875022707
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,0,21.718473124181276,34.716354308167254
ensemble,,,curated (log) + family,0,0,19.229625052043534,34.81524238562684
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,1,38.35389870826457,40.66768468764373
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}",0.0,old 12,0,1,22.00056211301152,36.47776403450862
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,1,25.913707406321784,30.967809590640734
ensemble,,,old 12,0,1,26.23446107680726,33.49858389144209
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,1,35.73178122307929,38.147775966087316
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}",0.0,curated,0,1,7.294324957859996,35.10992414064053
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,0,1,24.07928082685681,30.917901789915632
ensemble,,,curated,0,1,19.87682469762356,31.8531620187387
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,1,35.46339557939006,35.94230487689239
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}",0.0,curated (log),0,1,7.294324957859996,35.10992414064053
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,1,22.84293546669585,29.252385951175516
ensemble,,,curated (log),0,1,19.36322004922819,30.25224027921479
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,1,10.219967003705356,38.82637611116039
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,1,35.145575124426344,35.7181496616183
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,1,9.598495572400799,33.96641334467603
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,1,23.791841195143355,29.31112998052537
ensemble,,,curated (log) + family,0,1,20.62820131197863,29.911035043824928
ridge,"{""regressor__model__alpha"": 10}",0.0,old 12,0,2,39.06554867278302,37.919612193085676
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}",0.0,old 12,0,2,13.80181710578684,41.038545238498344
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,2,22.78395329565983,34.91850418298657
ensemble,,,old 12,0,2,21.759498394502216,34.84974172228304
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,0,2,35.99053734676176,37.64120274681386
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,2,9.713223770812133,41.24229296689197
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,0,2,24.131036515549773,44.46841637564206
ensemble,,,curated,0,2,20.501668176805914,36.89224033121923
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),0,2,35.35897363974578,36.36790842705979
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,2,9.713223770812133,41.24229296689197
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,2,23.890755827603254,38.72282854399201
ensemble,,,curated (log),0,2,20.222434440733235,35.30444446960081
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}}",,curated (log),0,2,14.239490064921496,40.39305648463643
