row,cmpdname,isosmiles,family,hard_region,boiling_point_kelvin
0,Ethylene Glycol,C(CO)O,alcohol/phenol,True,470.65
1,"2,3-Butanediol",CC(C(C)O)O,alcohol/phenol,True,455.15
2,1-Butanol,CCCCO,alcohol/phenol,False,390.75
3,Methane,C,alkane,False,111.65
4,Octane,CCCCCCCC,alkane,False,398.77
5,Dimethylamine,CNC,amine,False,280.45
6,Ethanol,CCO,alcohol/phenol,False,351.39
7,Methanol,CO,alcohol/phenol,False,337.65
8,1-Octanol,CCCCCCCCO,alcohol/phenol,False,467.85
9,Propylene Glycol,CC(CO)O,alcohol/phenol,True,460.45
10,1-Propanol,CCCO,alcohol/phenol,False,370.19
11,Trimethylamine,CN(C)C,amine,False,275.95
12,3-(Dibutylamino)propylamine,CCCCN(CCCC)CCCN,amine,False,478.2
13,Dioctylamine,CCCCCCCCNCCCCCCCC,amine,True,580.85
14,Ethylenediamine,C(CN)N,amine,True,390.05
15,Isopropyl Alcohol,CC(C)O,alcohol/phenol,False,355.36
16,Sorbitol,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,alcohol/phenol,True,704.0
17,"N,N,N',N'-Tetramethylmethanediamine",CN(C)CN(C)C,amine,False,356.65
18,1-Pentanol,CCCCCO,alcohol/phenol,False,410.75
19,Ethane,CC,alkane,False,184.55
20,Ethylene,C=C,alkene/alkyne,False,169.35
21,Methylamine,CN,amine,False,266.75
22,Propane,CCC,alkane,False,231.04
23,Propyne,CC#C,alkene/alkyne,False,249.95
24,Ethylamine,CCN,amine,False,289.75
25,Isobutane,CC(C)C,alkane,False,261.45
26,Isopropylamine,CC(C)N,amine,False,304.95
27,"2,2-Dimethylbutane",CCC(C)(C)C,alkane,False,322.85
28,Neopentyl alcohol,CC(C)(C)CO,alcohol/phenol,False,385.15
29,2-Methyl-2-butanol,CCC(C)(C)O,alcohol/phenol,False,375.55
30,Pinacol,CC(C)(C(C)(C)O)O,alcohol/phenol,True,447.15
31,3-Methyl-3-pentanol,CCC(C)(CC)O,alcohol/phenol,False,402.15
32,3-Methyl-1-pentyn-3-ol,CCC(C)(C#C)O,alcohol/phenol,False,393.15
33,Isopentane,CCC(C)C,alkane,False,300.98
34,Isoprene,CC(=C)C=C,alkene/alkyne,False,307.15
35,Isobutylamine,CC(C)CN,amine,False,341.95
36,Isobutanol,CC(C)CO,alcohol/phenol,False,380.99
37,2-Butanol,CCC(C)O,alcohol/phenol,False,372.55
38,"2,3-Dimethylbutane",CC(C)C(C)C,alkane,False,331.15
39,Xylitol,C([C@H](C([C@H](CO)O)O)O)O,alcohol/phenol,True,653.15
40,3-Methylpentane,CCC(C)CC,alkane,False,336.45
41,2-Methylbutylamine,CCC(C)CN,amine,False,368.70133
42,"N,N,N',N'-Tetramethyl-1,3-butanediamine",CC(CCN(C)C)N(C)C,amine,False,438.2
43,Triethylborane,B(CC)(CC)CC,other,False,368.15
44,2-Ethyl-1-butanol,CCC(CC)CO,alcohol/phenol,False,428.15
45,Tripropylamine,CCCN(CCC)CCC,amine,False,426.15
46,Triallylamine,C=CCN(CC=C)CC=C,amine,False,423.15
47,Tributylamine,CCCCN(CCCC)CCCC,amine,False,480.15
48,Tridodecylamine,CCCCCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC,amine,True,721.15
49,5-Ethyl-2-nonanol,CCCCC(CC)CCC(C)O,alcohol/phenol,False,498.15
50,2-Ethylhexylamine,CCCCC(CC)CN,amine,False,445.15
51,2-Ethylhexan-1-ol,CCCCC(CC)CO,alcohol/phenol,False,459.35
52,2-Methyl-1-pentanol,CCCC(C)CO,alcohol/phenol,False,430.15
53,"1,3-Dimethylpentylamine",CCC(C)CC(C)N,amine,False,405.65
54,"N,N-Bis(3-aminopropyl)methylamine",CN(CCCN)CCCN,amine,True,505.15
55,Bis(2-ethylhexyl)amine,CCCCC(CC)CNCC(CC)CCCC,amine,False,554.25
56,"3,7-Dimethyloctan-1-ol",CC(C)CCCC(C)CCO,alcohol/phenol,False,497.15
57,(-)-Citronellol,C[C@@H](CCC=C(C)C)CCO,alcohol/phenol,False,497.15
58,"1,2,6-Hexanetriol",C(CCO)CC(CO)O,alcohol/phenol,True,443.15
59,Butane,CCCC,alkane,False,272.65
60,1-Butene,CCC=C,alkene/alkyne,False,266.85
61,"1,3-Butadiene",C=CC=C,alkene/alkyne,False,268.55
62,1-Butyne,CCC#C,alkene/alkyne,False,281.25
63,Propylamine,CCCN,amine,False,320.36
64,Allylamine,C=CCN,amine,False,327.15
65,Allyl alcohol,C=CCO,alcohol/phenol,False,370.05
66,Propargyl alcohol,C#CCO,alcohol/phenol,False,386.15
67,"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,alkene/alkyne,False,374.45
68,"2,4,4-Trimethyl-2-pentene",CC(=CC(C)(C)C)C,alkene/alkyne,False,378.05
69,2-Methylpentane,CCCC(C)C,alkane,False,333.36
70,Isoamylamine,CC(C)CCN,amine,False,369.15
71,1-Methoxy-2-propanol,CC(COC)O,alcohol/phenol,False,393.15
72,"2,4-Dimethylpentane",CC(C)CC(C)C,alkane,False,353.55
73,"1,3-Dimethylbutylamine",CC(C)CC(C)N,amine,False,381.95884
74,4-Methyl-2-pentanol,CC(C)CC(C)O,alcohol/phenol,False,405.15
75,Diisopropylamine,CC(C)NC(C)C,amine,False,357.15
76,2-Isopropoxyethanol,CC(C)OCCO,alcohol/phenol,False,414.75
77,Pentane,CCCCC,alkane,False,309.21
78,1-Pentene,CCCC=C,alkene/alkyne,False,303.15
79,Butylamine,CCCCN,amine,False,350.15
80,N-Methylethylenediamine,CNCCN,amine,False,388.65
81,2-Methoxyethanol,COCCO,alcohol/phenol,False,397.45
82,Diethylamine,CCNCC,amine,False,328.55
83,"2,5-Dimethyl-2,5-hexanediol",CC(C)(CCC(C)(C)O)O,alcohol/phenol,True,506.15
84,"N,N,N',N'-Tetramethylethylenediamine",CN(C)CCN(C)C,amine,False,394.15
85,n-HEXANE,CCCCCC,alkane,False,341.87
86,"1,4-Butanediol",C(CCO)CO,alcohol/phenol,True,502.65
87,"2-Butyne-1,4-diol",C(C#CCO)O,alcohol/phenol,True,511.15
88,N-Methylbutylamine,CCCCNC,amine,False,364.15
89,"N,N'-Dimethylethylenediamine",CNCCNC,amine,False,393.15
90,2-Ethoxyethanol,CCOCCO,alcohol/phenol,False,407.85
91,"N,N,N',N'-Tetramethyl-1,3-propanediamine",CN(C)CCCN(C)C,amine,False,417.15
92,Diisobutylamine,CC(C)CNCC(C)C,amine,False,412.75
93,"1,1'-Oxydi-2-propanol",CC(COCC(C)O)O,alcohol/phenol,True,506.15
94,Squalane,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,alkane,True,693.15
95,Hexylamine,CCCCCCN,amine,False,405.15
96,1-Hexanol,CCCCCCO,alcohol/phenol,False,430.05
97,"1,5-Pentanediol",C(CCO)CCO,alcohol/phenol,True,514.15
98,3-Ethoxy-1-propanol,CCOCCCO,alcohol/phenol,False,433.69704
99,Diethylenetriamine,C(CNCCN)N,amine,True,479.65
100,2-Allyloxyethanol,C=CCOCCO,alcohol/phenol,False,431.65
101,1-Octene,CCCCCCC=C,alkene/alkyne,False,394.45
102,Heptylamine,CCCCCCCN,amine,False,426.15
103,1-Heptanol,CCCCCCCO,alcohol/phenol,False,451.15
104,2-Butoxyethanol,CCCCOCCO,alcohol/phenol,False,444.15
105,Nonane,CCCCCCCCC,alkane,False,423.95
106,Octylamine,CCCCCCCCN,amine,False,451.75
107,Dibutylamine,CCCCNCCCC,amine,False,435.15
108,"N,N-Dimethyldodecylamine",CCCCCCCCCCCCN(C)C,amine,False,533.15
109,2-(Hexyloxy)ethanol,CCCCCCOCCO,alcohol/phenol,False,481.15
110,1-Decanol,CCCCCCCCCCO,alcohol/phenol,False,502.15
111,Dodecane,CCCCCCCCCCCC,alkane,False,489.45
112,1-Dodecene,CCCCCCCCCCC=C,alkene/alkyne,False,486.55
113,1-Undecanol,CCCCCCCCCCCO,alcohol/phenol,False,519.15
114,Tetraethylenepentamine,C(CNCCNCCNCCN)N,amine,True,614.65
115,1-Tridecanol,CCCCCCCCCCCCCO,alcohol/phenol,False,560.15
116,1-Tetradecanol,CCCCCCCCCCCCCCO,alcohol/phenol,False,568.95
117,1-Octadecene,CCCCCCCCCCCCCCCCC=C,alkene/alkyne,True,588.65
118,Eicosane,CCCCCCCCCCCCCCCCCCCC,alkane,True,617.25
119,Propylene,CC=C,alkene/alkyne,False,225.55
120,Isobutylene,CC(=C)C,alkene/alkyne,False,266.15
121,"2,2-Diethyl-1,3-propanediol",CCC(CC)(CO)CO,alcohol/phenol,True,517.15
122,Pentaerythritol,C(C(CO)(CO)CO)O,alcohol/phenol,True,631.0
123,"N,N-Diisopropylethylenediamine",CC(C)N(CCN)C(C)C,amine,False,394.15
124,Triethylamine,CCN(CC)CC,amine,False,361.95
125,2-Methyl-1-butanol,CCC(C)CO,alcohol/phenol,False,401.15
126,"2,5-Dimethyl-3-hexyne-2,5-diol",CC(C)(C#CC(C)(C)O)O,alcohol/phenol,True,479.15
127,Heptane,CCCCCCC,alkane,False,371.53
128,Dipropylamine,CCCNCCC,amine,False,380.65
129,Decylamine,CCCCCCCCCCN,amine,False,490.15
130,Dihexylamine,CCCCCCNCCCCCC,amine,False,509.15
131,Bis(hexamethylene)triamine,C(CCCNCCCCCCN)CCN,amine,True,493.15
132,Hexadecylamine,CCCCCCCCCCCCCCCCN,amine,True,594.15
133,"2,2,4-Trimethyl-1,3-pentanediol",CC(C)C(C(C)(C)CO)O,alcohol/phenol,True,503.25
134,"1,3-Butadiyne",C#CC#C,alkene/alkyne,False,283.15
135,Allene,C=C=C,alkane,False,238.35
136,Neopentane,CC(C)(C)C,alkane,False,282.65
137,"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,alkane,False,353.95
138,"3,3-Dimethyl-2-butanol",CC(C(C)(C)C)O,alcohol/phenol,False,393.15
139,"3-Butene-1,2-diol",C=CC(CO)O,alcohol/phenol,True,469.65
140,Octamylamine,CC(C)CCCC(C)NCCC(C)C,amine,False,373.65
141,2-Butyne,CC#CC,alkene/alkyne,False,300.25
142,"1,3-Propanediol",C(CO)CO,alcohol/phenol,True,487.85
143,1-Tetracosanol,CCCCCCCCCCCCCCCCCCCCCCCCO,alcohol/phenol,True,675.0
144,2-Methyl-2-butene,CC=C(C)C,alkene/alkyne,False,311.65
145,Methallyl alcohol,CC(=C)CO,alcohol/phenol,False,387.65
146,"2,3-Dimethyl-1,3-butadiene",CC(=C)C(=C)C,alkene/alkyne,False,342.15
147,"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,alkane,False,372.35
148,2-Heptanol,CCCCCC(C)O,alcohol/phenol,False,432.15
149,Diisoamylamine,CC(C)CCNCCC(C)C,amine,False,460.15
150,3-Hexen-1-ol,CCC=CCCO,alcohol/phenol,False,426.15
151,Hexadecane,CCCCCCCCCCCCCCCC,alkane,False,560.05
152,Dotriacontane,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,alkane,True,743.15
153,"3,3-Dimethyl-1-butene",CC(C)(C)C=C,alkene/alkyne,False,314.39
154,"2,3,3-Trimethylpentane",CCC(C)(C)C(C)C,alkane,False,387.85
155,"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(=C)C,alkene/alkyne,False,381.15
156,"3,3-Dimethylpentane",CCC(C)(C)CC,alkane,False,359.15
157,"3,3-Dimethylhexane",CCCC(C)(C)CC,alkane,False,385.05
158,3-Methyl-1-butene,CC(C)C=C,alkene/alkyne,False,293.25
159,2-Methyl-1-butene,CCC(=C)C,alkene/alkyne,False,304.25
160,"2,3-Dimethyl-1-butene",CC(C)C(=C)C,alkene/alkyne,False,328.74
161,"2,3-Dimethyl-2-butene",CC(=C(C)C)C,alkene/alkyne,False,346.34
162,"2,2,3-Trimethylpentane",CCC(C)C(C)(C)C,alkane,False,382.95
163,"2,3-Dimethylpentane",CCC(C)C(C)C,alkane,False,362.95
164,3-Methyl-2-pentanol,CCC(C)C(C)O,alcohol/phenol,False,415.15
165,2-Methyl-3-pentanol,CCC(C(C)C)O,alcohol/phenol,False,401.05
166,"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,alkane,False,386.55
167,"2,3,4-Trimethyl-2-pentene",CC(C)C(=C(C)C)C,alkene/alkyne,False,389.15
168,"3,4-Dimethylhexane",CCC(C)C(C)CC,alkane,False,390.85
169,3-Pentanol,CCC(CC)O,alcohol/phenol,False,396.15
170,"1,2-Butanediol",CCC(CO)O,alcohol/phenol,True,469.1
171,"2,3-Dimethylhexane",CCCC(C)C(C)C,alkane,False,388.75
172,3-Methylhexane,CCCC(C)CC,alkane,False,364.15
173,3-Methyl-1-pentanol,CCC(C)CCO,alcohol/phenol,False,426.0
174,"2,4-Dimethylhexane",CCC(C)CC(C)C,alkane,False,382.55
175,4-Methylheptane,CCCC(C)CCC,alkane,False,390.85
176,4-Heptanol,CCCC(CCC)O,alcohol/phenol,False,434.15
177,4-Octanol,CCCCC(CCC)O,alcohol/phenol,False,448.15
178,3-Methylheptane,CCCCC(C)CC,alkane,False,392.05
179,3-Heptanol,CCCCC(CC)O,alcohol/phenol,False,427.15972
180,3-Octanol,CCCCCC(CC)O,alcohol/phenol,False,457.15
181,"1,2-Butadiene",CC=C=C,alkane,False,284.15
182,"2,2-Dimethylpentane",CCCC(C)(C)C,alkane,False,352.35
183,2-Methylpentan-2-ol,CCCC(C)(C)O,alcohol/phenol,False,394.15
184,"2,2-Dimethylhexane",CCCCC(C)(C)C,alkane,False,379.95
185,2-Methylhexane,CCCCC(C)C,alkane,False,363.15
186,"1,4-Pentadiene",C=CCC=C,alkene/alkyne,False,299.05
