feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated,ensemble,0,0,17.567880381174415,10.500308202833805,0.9607821495049805,251.0,38.34005573189934
curated,ensemble,0,1,31.068384032127376,12.25625654312721,0.8971571014271026,250.0,69.10226162869382
curated,ensemble,0,2,20.92539908073165,10.134849183476458,0.9177145873258588,250.0,41.841417605466305
curated,ensemble,0,3,20.643160043787574,9.442460681817892,0.9468363373334575,250.0,51.282966321475904
curated,ensemble,0,4,27.53403641209194,12.297957246256294,0.9116672470390339,250.0,63.697662874876414
curated,ensemble,1,0,18.66671090638395,9.487472065216513,0.9604560458526687,251.0,25.861398514336543
curated,ensemble,1,1,21.339614387094624,10.593272147023024,0.9326519545649304,250.0,50.149833587350486
curated,ensemble,1,2,31.684439026992827,11.706484868953508,0.8855268817673092,250.0,78.28759532759233
curated,ensemble,1,3,20.61245642644108,11.267384361898399,0.9458964207241294,250.0,37.33050972541765
curated,ensemble,1,4,18.11558193686711,10.310756430890535,0.953800446769448,250.0,37.243736946065354
curated,ensemble,2,0,19.886854893660164,10.403050186168588,0.9498591503889164,251.0,41.084462333863314
curated,ensemble,2,1,24.154279927041877,10.953813117914025,0.9319397695563935,250.0,51.591140102334414
curated,ensemble,2,2,17.323902919618238,10.534620273554276,0.9603819383816204,250.0,30.412804768444236
curated,ensemble,2,3,27.267470339402582,11.76151476118295,0.9185608459423222,250.0,66.21804416126777
curated,ensemble,2,4,20.99982027945271,10.056521647197128,0.9269559676627417,250.0,48.50593014334827
curated,mlp,0,0,20.042855015198917,10.47487903526342,0.9489537051101331,251.0,36.92639662059297
curated,mlp,0,1,31.8153534575468,13.393028728720067,0.892152400257766,250.0,65.60723017971942
curated,mlp,0,2,20.217834542893034,10.48050512861048,0.9231852486944451,250.0,36.60346730745788
curated,mlp,0,3,22.1949811248327,10.353603749659037,0.9385428955687298,250.0,53.392832816289804
curated,mlp,0,4,30.697770919464897,13.661617112937023,0.8902016831390667,250.0,72.0404758390729
curated,mlp,1,0,17.99865149671728,9.380713477298023,0.9632358587025899,251.0,24.699967315146306
curated,mlp,1,1,24.245945716157944,11.775640602557067,0.9130579014822694,250.0,58.426908488285605
curated,mlp,1,2,31.499627893674386,14.244179600198658,0.8868584001759009,250.0,70.78615212462722
curated,mlp,1,3,29.23821902877793,15.166827498931196,0.8911400009001148,250.0,47.371214391154645
curated,mlp,1,4,19.78083097953557,11.14674892099726,0.944916407023511,250.0,34.44460893456692
curated,mlp,2,0,21.09585886158501,10.169756169490594,0.9435772952425028,251.0,43.967408514666204
curated,mlp,2,1,26.29225212181806,12.279074016446641,0.9193580907574486,250.0,49.666780019577246
curated,mlp,2,2,18.83106437498847,11.811380670621377,0.9531886165330175,250.0,31.669951239100694
curated,mlp,2,3,22.269939236115878,11.204163089729448,0.9456772660277868,250.0,49.82917609123331
curated,mlp,2,4,23.690588954249925,12.446154758104885,0.9070380341301145,250.0,48.15328587596334
curated,ridge,0,0,25.18086086644382,16.742107650248602,0.9194276182033072,251.0,51.189227567457614
curated,ridge,0,1,31.733859644825596,15.688943388569063,0.8927041876755115,250.0,67.10491544691332
curated,ridge,0,2,25.208549318632638,14.628959210295532,0.8805816515542377,250.0,44.912989901108936
curated,ridge,0,3,24.459168483887183,13.786203421509908,0.9253644200676953,250.0,57.74622148290013
curated,ridge,0,4,30.35531213531433,15.864561588214968,0.8926377988421571,250.0,64.87265831281218
curated,ridge,1,0,24.995222535635982,14.868572740118998,0.929097996699553,251.0,36.9371493878613
curated,ridge,1,1,23.484080404015458,15.325372431901494,0.9184359130756606,250.0,47.04906381290815
curated,ridge,1,2,35.441655168494286,15.9530607049952,0.8567681966359855,250.0,86.08898944867359
curated,ridge,1,3,23.36905330547991,15.178790838329673,0.9304577505468737,250.0,40.930639121656036
curated,ridge,1,4,21.80610332278463,14.486968258630284,0.9330594421075027,250.0,50.18484223095299
curated,ridge,2,0,23.483375885925422,15.15059452104764,0.9300833617625321,251.0,43.05381155699739
curated,ridge,2,1,27.87417178785096,15.321174001620424,0.9093622388234786,250.0,52.42303628877222
curated,ridge,2,2,20.942057478472492,14.411379073819058,0.9421050830991833,250.0,32.62547372859163
curated,ridge,2,3,31.854552795751612,16.54262969479894,0.8888558574099943,250.0,74.30953950223576
curated,ridge,2,4,25.24098578157115,14.533954552247389,0.894472364197991,250.0,57.65221533429795
curated,xgboost,0,0,17.360738134567324,10.36177035060928,0.9617015297046686,251.0,37.47447660902146
curated,xgboost,0,1,36.122180670634116,13.395834229589848,0.8609775621334503,250.0,83.20682419472382
curated,xgboost,0,2,22.867710492369913,9.9155048990625,0.9017300526442817,250.0,52.86467994702323
curated,xgboost,0,3,19.726753881473083,8.353980569746092,0.9514517268449387,250.0,48.27727508119183
curated,xgboost,0,4,29.46738698393562,12.576674669414064,0.8988268541377806,250.0,70.34865263779605
curated,xgboost,1,0,22.294592126773587,10.522076298400147,0.9435916295665642,251.0,43.64435206988359
curated,xgboost,1,1,24.87197226817797,10.370352148437501,0.9085102773259753,250.0,61.51258342733392
curated,xgboost,1,2,34.79912117272103,11.650373222421877,0.8619145177589943,250.0,87.44089873919498
curated,xgboost,1,3,20.59160638639579,9.978936983632813,0.9460058197437445,250.0,39.529504347815184
curated,xgboost,1,4,20.858119955072148,10.03298417421875,0.9387531837607308,250.0,39.925266282914734
curated,xgboost,2,0,20.877697497672838,10.277132821565301,0.9447382440956085,251.0,44.903829152125965
curated,xgboost,2,1,24.56836927116713,10.808160898769529,0.9295861830035705,250.0,59.55274017173536
curated,xgboost,2,2,21.239409134780583,10.278672111972655,0.9404493368569165,250.0,47.262255449963426
curated,xgboost,2,3,33.32856192220205,12.631259763281248,0.8783319059445351,250.0,81.42865718725822
curated,xgboost,2,4,21.381342937584943,9.43991957835937,0.9242777443147014,250.0,45.95619747695276
curated (log),ensemble,0,0,17.473558233166713,10.237201876171978,0.9612021411638633,251.0,37.96438660088483
curated (log),ensemble,0,1,30.741324158105332,12.640833435558019,0.899310978618692,250.0,67.36918732141696
curated (log),ensemble,0,2,21.522393986596267,9.968453114865369,0.9129524590084914,250.0,45.91171339422641
curated (log),ensemble,0,3,20.16093043914698,9.332195293970202,0.9492911598892867,250.0,49.400063759370916
curated (log),ensemble,0,4,25.575859114098535,12.289521666500626,0.9237846474581004,250.0,58.00225487174077
curated (log),ensemble,1,0,16.995557557743503,9.226976883974267,0.9672195188319095,251.0,28.999935829244716
curated (log),ensemble,1,1,20.70712504972185,12.299462432883672,0.9365850763455011,250.0,45.07164917733748
curated (log),ensemble,1,2,30.52974103299097,11.836229255664733,0.8937184916550516,250.0,74.64086625243486
curated (log),ensemble,1,3,20.52034632469483,11.817629069986113,0.9463788815557023,250.0,35.997309090777094
curated (log),ensemble,1,4,18.299135676595974,10.31726918691644,0.9528594819636682,250.0,36.21889501098679
curated (log),ensemble,2,0,19.940269667914933,10.154687865042808,0.9495894386627944,251.0,41.10532000980813
curated (log),ensemble,2,1,23.853102267769145,10.859872213709812,0.9336264624050986,250.0,54.82384960978982
curated (log),ensemble,2,2,19.06281343997344,10.77143813089855,0.9520293353637367,250.0,38.73220907405693
