model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,0,31.747207156860135,29.654061273855167
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,0,0,10.056389233426026,17.890323656734413
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,0,13.898782995891054,18.40868519466635
ensemble,,,old 12,0,0,15.777150028161826,18.1863130464319
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,0,24.103247945559026,25.18086086644382
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,0,5.384877798858718,17.360738134567324
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated,0,0,11.987471118803633,20.042855015198917
ensemble,,,curated,0,0,12.15491238059318,17.567880381174415
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log),0,0,22.6897904909086,23.64712104362301
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,0,5.384877798858718,17.360738134567324
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,0,12.780537650326705,20.00555660698976
ensemble,,,curated (log),0,0,12.061305906169231,17.473558233166713
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,0,6.625374588749567,21.108114502714972
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,0,0,22.14748924653666,22.967092813694588
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,0,6.576401685062528,19.00206484953937
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,0,14.288471707322982,18.685997565064394
ensemble,,,curated (log) + family,0,0,12.92795999778005,17.643343332150028
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,0,1,30.46090104605168,36.38319088533582
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,0,1,7.877034452873568,35.31630832336041
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,1,20.94653156110723,33.926952939041655
ensemble,,,old 12,0,1,17.229771425654896,32.52455252056947
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,0,1,23.56925643390949,31.733859644825596
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,1,1.8264139207194225,36.122180670634116
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated,0,1,17.53428585666538,31.8153534575468
ensemble,,,curated,0,1,12.92482693414334,31.068384032127376
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log),0,1,22.02237565013589,31.649445443210546
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,1,1.8264139207194225,36.122180670634116
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,1,21.271776447180468,33.7326087468814
ensemble,,,curated (log),0,1,12.975937266536196,30.741324158105332
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""alkane"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),0,1,4.839341021036012,36.174551537252725
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,0,1,21.689063018157164,29.66543562574208
