strategy,seed,lookups,hits
rule_order,0,100,7
rule_order,0,200,12
rule_order,0,300,13
rule_order,0,400,15
rule_order,0,500,20
rule_order,0,600,39
rule_order,0,700,49
rule_order,0,800,56
rule_order,0,900,73
rule_order,0,1000,74
rule_order,0,1100,79
rule_order,0,1200,83
rule_order,0,1300,84
rule_order,0,1400,87
rule_order,0,1500,93
rule_order,0,1600,96
rule_order,0,1700,99
rule_order,0,1800,99
rule_order,0,1900,99
rule_order,0,2000,100
rule_order,0,2100,101
rule_order,0,2200,102
rule_order,0,2300,103
rule_order,0,2400,104
rule_order,0,2500,104
rule_order,0,2600,104
rule_order,0,2700,104
rule_order,0,2800,104
rule_order,0,2900,104
rule_order,0,3000,104
rule_order,0,3100,104
rule_order,0,3200,104
rule_order,0,3300,104
rule_order,0,3400,104
rule_order,0,3500,104
rule_order,0,3600,105
rule_order,0,3700,105
rule_order,0,3800,105
rule_order,0,3900,105
rule_order,0,4000,105
rule_order,0,4100,105
rule_order,0,4200,105
rule_order,0,4300,105
rule_order,0,4400,105
rule_order,0,4500,105
rule_order,0,4600,105
rule_order,0,4700,105
rule_order,0,4800,105
rule_order,0,4900,105
rule_order,0,5000,105
rule_order,0,5100,105
rule_order,0,5200,105
rule_order,0,5300,105
rule_order,0,5400,105
random,0,100,2
random,0,200,5
random,0,300,7
random,0,400,8
random,0,500,10
random,0,600,13
random,0,700,15
random,0,800,16
random,0,900,18
random,0,1000,19
random,0,1100,22
random,0,1200,24
random,0,1300,25
random,0,1400,26
random,0,1500,30
random,0,1600,32
random,0,1700,34
random,0,1800,36
random,0,1900,39
random,0,2000,41
random,0,2100,42
random,0,2200,44
random,0,2300,44
random,0,2400,48
random,0,2500,50
random,0,2600,53
random,0,2700,53
random,0,2800,56
random,0,2900,59
random,0,3000,60
random,0,3100,64
random,0,3200,67
random,0,3300,68
random,0,3400,69
random,0,3500,69
random,0,3600,69
random,0,3700,70
random,0,3800,76
random,0,3900,77
random,0,4000,78
random,0,4100,78
random,0,4200,78
random,0,4300,79
random,0,4400,82
random,0,4500,85
random,0,4600,86
random,0,4700,89
random,0,4800,91
random,0,4900,92
random,0,5000,94
random,0,5100,96
random,0,5200,103
random,0,5300,103
random,0,5400,105
random,1,100,2
random,1,200,3
random,1,300,6
random,1,400,7
random,1,500,9
random,1,600,10
random,1,700,13
random,1,800,13
random,1,900,13
random,1,1000,14
random,1,1100,16
random,1,1200,18
random,1,1300,21
random,1,1400,24
random,1,1500,26
random,1,1600,26
random,1,1700,30
random,1,1800,32
random,1,1900,32
random,1,2000,34
random,1,2100,39
random,1,2200,39
random,1,2300,40
random,1,2400,43
random,1,2500,48
random,1,2600,48
random,1,2700,52
random,1,2800,55
random,1,2900,60
random,1,3000,63
random,1,3100,65
random,1,3200,66
random,1,3300,67
random,1,3400,70
random,1,3500,73
random,1,3600,75
random,1,3700,75
random,1,3800,77
random,1,3900,78
random,1,4000,79
random,1,4100,80
random,1,4200,83
random,1,4300,86
random,1,4400,90
random,1,4500,92
random,1,4600,93
random,1,4700,96
random,1,4800,96
random,1,4900,98
random,1,5000,99
